"구분(1)",구분(2),구분(3),구분(4),2020
"대전",재활용 가능자원 분리배출,영농폐기물,폐비닐,449.7
"대전",재활용 가능자원 분리배출,폐식용유,소계,0.0
"대전",재활용 가능자원 분리배출,폐전기전자제품,소계,2668.5
"대전",재활용 가능자원 분리배출,폐가구류,소계,0.0
"대전",재활용 가능자원 분리배출,기타,소계,309.7
"대전",재활용 가능자원 분리배출,재활용 잔재물,소계,22153.5
"대전",음식물류 폐기물 분리배출,소계,소계,155208.2
"울산",합계,소계,소계,422336.6
"울산",종량제방식 등 혼합배출,소계,소계,198641.1
"울산",종량제방식 등 혼합배출,가연성,소계,147605.8
"울산",종량제방식 등 혼합배출,가연성,폐지류,31744.8
"울산",종량제방식 등 혼합배출,가연성,폐합성수지류,28736.8
"울산",종량제방식 등 혼합배출,가연성,폐고무류,1036.6
"울산",종량제방식 등 혼합배출,가연성,폐섬유류,7026.5
"울산",종량제방식 등 혼합배출,가연성,음식물류 폐기물,9752.1
"울산",종량제방식 등 혼합배출,가연성,폐목재류,4264.3
"울산",종량제방식 등 혼합배출,가연성,기타,65044.7
"울산",종량제방식 등 혼합배출,불연성,소계,26017.5
"울산",종량제방식 등 혼합배출,불연성,폐금속류,3393.5
"울산",종량제방식 등 혼합배출,불연성,폐유리류,4937.2
"울산",종량제방식 등 혼합배출,불연성,폐토사류,1290.6
"울산",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,377.0
"울산",종량제방식 등 혼합배출,불연성,연탄재,17.7
"울산",종량제방식 등 혼합배출,불연성,기타,16001.5
"울산",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),19094.5
"울산",종량제방식 등 혼합배출,기타(배출불명등),소계,5923.3
"울산",재활용 가능자원 분리배출,소계,소계,117600.0
"울산",재활용 가능자원 분리배출,폐지류,종이팩,2796.4
"울산",재활용 가능자원 분리배출,폐지류,기타,28287.8
"울산",재활용 가능자원 분리배출,고철류,소계,17810.5
"울산",재활용 가능자원 분리배출,금속캔,소계,6792.8
"울산",재활용 가능자원 분리배출,폐합성수지류,비닐류,7274.2
"울산",재활용 가능자원 분리배출,폐합성수지류,발포수지류,2966.7
"울산",재활용 가능자원 분리배출,폐합성수지류,PET병,13845.4
